Id,NettingSet,DateIndex,Date,Sample,Depth,Value
CPTY_A,,2,2016-08-05,19,0,14958486.7512
CPTY_A,,2,2016-08-05,20,0,6365313.7156
CPTY_A,,2,2016-08-05,21,0,3303352.6756
CPTY_A,,2,2016-08-05,22,0,866497.1709
CPTY_A,,2,2016-08-05,23,0,7856066.9670
CPTY_A,,2,2016-08-05,24,0,14825025.2957
CPTY_A,,2,2016-08-05,25,0,-30175.4755
CPTY_A,,2,2016-08-05,26,0,-977198.0103
CPTY_A,,2,2016-08-05,27,0,24132103.9799
CPTY_A,,2,2016-08-05,28,0,2717392.9480
CPTY_A,,2,2016-08-05,29,0,-354457.4983
CPTY_A,,2,2016-08-05,30,0,9763000.6660
CPTY_A,,2,2016-08-05,31,0,6708265.7221
CPTY_A,,2,2016-08-05,32,0,13650206.1238
CPTY_A,,2,2016-08-05,33,0,-1198244.8289
CPTY_A,,2,2016-08-05,34,0,-2468881.0508
CPTY_A,,2,2016-08-05,35,0,15297184.7836
CPTY_A,,2,2016-08-05,36,0,1838025.1062
CPTY_A,,2,2016-08-05,37,0,-322189.2986
CPTY_A,,2,2016-08-05,38,0,8814211.8457
CPTY_A,,2,2016-08-05,39,0,8853542.1036
CPTY_A,,2,2016-08-05,40,0,9191003.3122
CPTY_A,,2,2016-08-05,41,0,-4983169.5504
CPTY_A,,2,2016-08-05,42,0,635530.7697
CPTY_A,,2,2016-08-05,43,0,9145296.0388
CPTY_A,,2,2016-08-05,44,0,3849409.9960
CPTY_A,,2,2016-08-05,45,0,3280943.6664
CPTY_A,,2,2016-08-05,46,0,5222616.1847
CPTY_A,,2,2016-08-05,47,0,16025670.1044
CPTY_A,,2,2016-08-05,48,0,8540766.9652
CPTY_A,,2,2016-08-05,49,0,679104.2764
CPTY_A,,2,2016-08-05,50,0,-4060221.5536
CPTY_A,,2,2016-08-05,51,0,8373708.5419
CPTY_A,,2,2016-08-05,52,0,17576132.7373
CPTY_A,,2,2016-08-05,53,0,9223258.1415
CPTY_A,,2,2016-08-05,54,0,3258496.2516
CPTY_A,,2,2016-08-05,55,0,5464202.1923
CPTY_A,,2,2016-08-05,56,0,20870543.8775
CPTY_A,,2,2016-08-05,57,0,-536074.1405
CPTY_A,,2,2016-08-05,58,0,-34304.1050
CPTY_A,,2,2016-08-05,59,0,11980661.0425
CPTY_A,,2,2016-08-05,60,0,9724170.0325
CPTY_A,,2,2016-08-05,61,0,8886235.1189
CPTY_A,,2,2016-08-05,62,0,3498153.7607
CPTY_A,,2,2016-08-05,63,0,7398088.2284
CPTY_A,,2,2016-08-05,64,0,566696.0621
CPTY_A,,2,2016-08-05,65,0,4897137.7328
CPTY_A,,2,2016-08-05,66,0,7691608.2243
CPTY_A,,2,2016-08-05,67,0,-2284055.2838
CPTY_A,,2,2016-08-05,68,0,6170597.9657
CPTY_A,,2,2016-08-05,69,0,18272532.5206
CPTY_A,,2,2016-08-05,70,0,2668119.6726
CPTY_A,,2,2016-08-05,71,0,-605242.9745
CPTY_A,,2,2016-08-05,72,0,2108798.6236
CPTY_A,,2,2016-08-05,73,0,17562801.8098
CPTY_A,,2,2016-08-05,74,0,5962169.2625
CPTY_A,,2,2016-08-05,75,0,-140248.5795
CPTY_A,,2,2016-08-05,76,0,6859323.5894
CPTY_A,,2,2016-08-05,77,0,6881840.7213
CPTY_A,,2,2016-08-05,78,0,7644042.7226
CPTY_A,,2,2016-08-05,79,0,4285124.0008
CPTY_A,,2,2016-08-05,80,0,4648831.5885
CPTY_A,,3,2016-11-07,1,0,5028355.7842
CPTY_A,,3,2016-11-07,2,0,-2190860.8801
CPTY_A,,3,2016-11-07,3,0,15332456.8227
CPTY_A,,3,2016-11-07,4,0,2428010.2918
CPTY_A,,3,2016-11-07,5,0,5821720.9449
CPTY_A,,3,2016-11-07,6,0,3577615.5798
CPTY_A,,3,2016-11-07,7,0,8753625.0238
CPTY_A,,3,2016-11-07,8,0,2494415.8789
CPTY_A,,3,2016-11-07,9,0,292917.4853
CPTY_A,,3,2016-11-07,10,0,-732862.9091
CPTY_A,,3,2016-11-07,11,0,10914069.7974
CPTY_A,,3,2016-11-07,12,0,7149327.9093
CPTY_A,,3,2016-11-07,13,0,7739644.2596
CPTY_A,,3,2016-11-07,14,0,12260983.6507
CPTY_A,,3,2016-11-07,15,0,3417407.1441
CPTY_A,,3,2016-11-07,16,0,6267597.8638
CPTY_A,,3,2016-11-07,17,0,-4471333.1087
CPTY_A,,3,2016-11-07,18,0,13078025.8984
CPTY_A,,3,2016-11-07,19,0,12560194.2827
CPTY_A,,3,2016-11-07,20,0,1725544.4554
CPTY_A,,3,2016-11-07,21,0,10616030.7032
CPTY_A,,3,2016-11-07,22,0,3552266.5547
CPTY_A,,3,2016-11-07,23,0,4050396.2931
CPTY_A,,3,2016-11-07,24,0,21053918.0195
CPTY_A,,3,2016-11-07,25,0,-1807708.0678
CPTY_A,,3,2016-11-07,26,0,-7085825.2422
CPTY_A,,3,2016-11-07,27,0,23459386.2952
CPTY_A,,3,2016-11-07,28,0,4594103.4478
CPTY_A,,3,2016-11-07,29,0,250407.6770
CPTY_A,,3,2016-11-07,30,0,9402168.8652
CPTY_A,,3,2016-11-07,31,0,4385493.8396
CPTY_A,,3,2016-11-07,32,0,20023038.0742
CPTY_A,,3,2016-11-07,33,0,-2271279.6942
CPTY_A,,3,2016-11-07,34,0,-4803496.0119
CPTY_A,,3,2016-11-07,35,0,24847503.1830
CPTY_A,,3,2016-11-07,36,0,-1108137.2852
CPTY_A,,3,2016-11-07,37,0,-3989843.0237
CPTY_A,,3,2016-11-07,38,0,9000837.8072
CPTY_A,,3,2016-11-07,39,0,6628735.5066
CPTY_A,,3,2016-11-07,40,0,8110873.7593
CPTY_A,,3,2016-11-07,41,0,-2565297.6311
CPTY_A,,3,2016-11-07,42,0,344321.8283
CPTY_A,,3,2016-11-07,43,0,262565.1323
CPTY_A,,3,2016-11-07,44,0,712096.1537
CPTY_A,,3,2016-11-07,45,0,11074787.2239
CPTY_A,,3,2016-11-07,46,0,7288558.9279
CPTY_A,,3,2016-11-07,47,0,9981271.7560
CPTY_A,,3,2016-11-07,48,0,6043014.0588
